,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia (Plurinational State of),"Bonaire, Sint Eustatius and Saba",Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Cayman Islands,Central African Republic,Chad,Channel Islands,Chile,China,"China, Hong Kong Special Administrative Region","China, Macao Special Administrative Region",Colombia,Comoros,Congo,Cook Islands,Costa Rica,C?te d'Ivoire,Croatia,Cuba,Cura?ao,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Falkland Islands (Malvinas),Fiji,Finland,France,French Guiana,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia (Federated States of),Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Puerto Rico,Qatar,Republic of Korea,Republic of Moldova,R?union,Romania,Russian Federation,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten (Dutch part),Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Sudan,Spain,Sri Lanka,State of Palestine,Sudan,Suriname,Swaziland,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Timor-Leste,Togo,Tokelau,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom of Great Britain and Northern Ireland,United Republic of Tanzania,United States of America,United States Virgin Islands,Uruguay,Uzbekistan,Vanuatu,Venezuela (Bolivarian Republic of),Viet Nam,Wallis and Futuna Islands,Western Sahara,Yemen,Zambia,Zimbabwe
Burkina Faso,,,,,,,,,11,,,21,121,,,,,,,928,,  9 948,,,,,,,30,,,13,,,,,,  1 465,,,,,2,,,,,,,,, 1 294 323,,,,,14,,,101,,,,,74,,,,,,,,,14,  8 741,,,  4 526,,,  1 545,  57 733,,79,,,,,,  1 882,,,,,,,1,,,,,9,,,  11 657,,,,,,,,,,,,,234,,,,,,,,,  23 922,,,,,,,,,,,,,,,,65,,,375,,,,  19 323,,,,32,,,,,,,,,,,,,,,,,445,,,,,,,,,,,,,,30,,,,,,,,,  1 147,,,,,,84,645,,,,,,  13 601,,,,,,,,,,,,237,,,,,,,,,,,,,
Burundi,,,,,,,,,,,,  2 152,97,,,,,,,  2 443,,,,,0,,,,25,,,18,,,,,,  7 474,,,,,2,,,,,,,,,,,,,5,6,,  39 062,554,,,3,,42,,,  1 046,,40,,,,61,  1 866,,,109,,,700,,,133,,,,,,,,,,,,,,,,,,48,,,  1 007,,,,,  4 345,,,,,0,,,,,,,,,  5 250,,,,,,,,,,,,,,,,,,,356,,,  2 334,,,,,,,,  1 030,,,,,,,,,,,,,,,,,131,  64 501,,,,,,,,,,,,,,,,,,,,  5 227,,107,,,,,219,  2 934,582,,,,,,,,,,,,,,,  45 345,,,  4 820,  87 099,,,,,,,,,,,  3 014,
Cabo Verde,,,,,,  10 459,,,24,,,0,41,,,,,,,194,,,,,128,,,,  1 426,,,7,,,,,,207,,,,,2,,,,,,,,,292,,,,,11,,,28,,,3,,,,,,,,,,,13,  22 292,,,,,,,,,14,,,,,,379,552,,,,,,35,,,,,4,,,  6 160,,,,,,,,,,0,,,,,,,  1 619,,,,,,,,,,,,,,,,,,,  6 776,,,,,  11 997,,,,,,,,392,,,,,,,,131,,  57 636,,,,,,,45,,,,,,,,,  1 363,,,,,1,,,,,,,,,  4 445,,,,,,380,  2 129,,,,,,40,,,,,,,,,,,,  1 279,,  35 228,,,,,,,,,,,
Cambodia,,,,,,,,,20,,,  35 710,958,,,,  19 642,,,273,,,,,0,,,,33,,,13,,,,,,  26 354,,,,,5,,,,,,,,3,,,,,0,27,,,238,,,121,,,,,,4,,,,,331,  63 343,,,,,,  2 695,,,22,,,,,,,,,,,,61,1,,,,,11,,,  1 322,,  3 098,,,,,,,  1 231,0,,,,,,,,,,  14 127,,,,,,,,,,,,,,,,,,,,,738,754,  6 826,,,,,,404,,,,,,,,39,25,,,,  30 705,,,,114,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,595,  2 599,,,  805 272,,,,,,,,,,,,,,,  1 304,,  167 039,,,,,,990,,,,,
Cameroon,,,,,,,,,,,,411,654,,,,,,,  12 295,,,,,12,,,,166,,,16,,,,,,  9 868,,,  36 938,,5,,,,,,  11 300,,9,,,,,64,95,,,712,,,23,45,141,,798,,2,,,,,906,  81 278,,,  32 792,,,  19 897,113,,462,,,,,,,,,,,,250,6,,,,,346,,,  11 457,,,,,,,,,,1,,,,,,,61,,,,,  4 405,,,,392,,,47,,,,,,,,,108,,,  1 923,,,,417,  26 893,,,686,,,,,,,,,37,71,,,,,,58,334,,,,,,,,,,,979,,,,,,,20,,,  2 709,,  5 178,,,,,,  1 410,  7 256,,,,,,697,,,,718,,,,,,,,  11 009,,  41 242,,,,,,,,,,892,
Canada,,  1 004,,,,,126,434,530,,,  54 034,  2 547,,  1 567,,,689,155,  3 143,818,,  2 302,37,  1 380,87,,417,  1 894,234,,474,,,,42,137,,  1 315,186,,,  1 847,  8 629,  14 660,,985,,,,  1 443,,  1 004,57,90,  1 676,811,331,,  3 803,,184,  1 216,  2 341,707,245,,,106,,13,,,  1 989,  25 738,,128,189,,,  19 695,273,,  12 611,15,227,496,,397,  1 163,57,400,  1 302,,256,  2 346,285,  1 642,  2 086,,,  5 323,206,  8 132,  25 540,  1 313,  9 072,344,,,,,,,124,,,35,  2 850,,31,238,,,,98,,  2 053,,,50,36,,  14 121,,,133,69,37,,,,172,,,  9 776,,  9 950,252,,,,,  3 032,,,,  1 808,235,  2 281,  1 223,  5 565,  2 951,  7 044,119,,  14 153,,,,558,,,,256,181,163,11,,,,,612,,33,  4 700,38,440,418,,,  6 114,,  6 414,245,,,,19,  3 611,  12 369,,51,606,,,48,,,  1 777,,  1 431,,462,,275,,,  86 415,294,  842 175,,284,,,  1 136,  1 454,,,,225,
Cayman Islands,,,,,,,,,,,,95,,,23,,,,,,,,,,,,,,,,,3,,,,,,429,,,,,2,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,,,,66,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,914,,,,,,,,,,,,,
Central African Republic,,,,,,,,,,,,0,29,,,,,,,136,,,,,65,,,,13,,,,,,,,  201 957,397,,,  93 259,,5,,,,,,  32 696,,5,,,,,17,0,,  73 094,10,,,135,,65,,,,1,,,,,3,  16 719,,,,,,,,,393,,,,,,,,,,,,8,,,,,,8,,,238,,,,,,,,,,0,,,,,,,,,,,,  2 104,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,36,,,121,  4 574,162,,,  13 489,,,109,204,,,,,,375,,,,,,,,,,,,171,,,,,,,,,,,,,
Chad,,,,,,36,,,,,,32,12,,,430,,,,287,,699,,,0,,,,,,,5,,,,,  54 160,853,,  10 029,,,18,,,,,,  10 565,,,,,,,,7,,,16,,,3,,371,,,,,,,,,10,  7 418,,,  2 929,,,317,15,,19,,,,,,,,,,,,3,,,,,,10,,,563,,,28,,,,  1 305,,,,,,,860,,,,,,,,,,,,51,,,,,,,,,,,,,,,85,,,,756,  29 175,,,23,,,,,,,,,,,,512,,,,,152,,,,,,,,,,,,,,,,,141,,,,,  5 184,122,,,  74 514,,,66,305,,,,,,713,,,,,,,,,,,  4 967,371,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  19 942,,,,,,,,,,,,,
Chile,,,,,201,,,,  213 119,,,  30 963,  1 258,,35,,,,,  1 180,,,,,  4 730,,,,  18 422,,,24,,,,,,  29 090,,,,,,,,,  2 024,,,,  1 782,,126,166,,53,117,,,  1 612,,,633,  11 341,31,229,,,7,,,198,,552,  14 402,,,,,,  15 942,,,367,,,,,301,,,,690,,227,140,71,,,,,142,,  3 386,  12 427,,,,,,,,,,4,,,,,,,59,,,,,,,,,,,,  7 202,,,,,,,,,29,,,  3 328,,  2 503,126,,,,,  6 631,,,,  1 813,,  2 109,  7 182,93,60,188,789,,,,,25,107,,,,,,,,,,,,,,,,,28,28,,,609,,  54 640,,,,,,  28 853,  7 751,,,,,,,,,,,43,,,,,,,  7 673,,  97 901,,  1 384,,,  15 263,,,,,,
China,,,,591,,,,134,  14 397,,  1 127,  451 084,  17 713,,172,,  177 772,43,,  12 245,  1 930,,350,906,  1 127,17,,  4 230,  23 156,,  2 055,977,,,23,  1 518,,  711 220,,,,,  9 439,, 2 307 783,  281 611,  2 037,,924,,299,,446,277,489,  1 783,  4 788,  28 594,,  11 662,,38,  1 484,  2 928,856,259,,135,187,,32,,925,  11 550,  110 045,  1 246,615,224,,228,  102 365,224,,  3 396,11,,,  2 152,657,522,,  1 149,721,,437,  11 449,564,  7 107,  70 319,,,  12 683,,600,  200 434,,  652 413,  9 777,  2 162,,,,271,  3 114,192,  2 428,121,,  3 074,77,51,  1 056,  1 979,,  10 368,,584,417,318,156,158,  2 951,,  9 945,,,  9 373,,,,,  33 656,  2 847,368,  20 308,  62 708,119,  92 602,139,,,,  2 592,  11 203,,334,514,  18 665,88,780,  4 086,  35 952,  1 177,  10 128,  1 088,,  750 639,,,  3 522,  56 171,,,,49,,,59,,,,,  1 763,512,257,  448 566,174,  1 038,908,197,,  25 180,,  152 904,  2 401,,  1 111,  5 338,,  30 743,  18 405,,49,  100 320,,  1 123,517,,177,866,,  1 764,,,,423,  6 560,,  182 628,, 2 103 551,,,,,  13 865,  3 005,,,,  2 480,
"China, Hong Kong Special Administrative Region",,,,,,,,,4,,,  95 557,281,,26,,,,,,71,,,,2,17,,,,,515,,,,,116,,  227 744,,,,,53,  270 252,,  22 111,35,,,,  3 365,,,,111,,0,164,,527,,,,97,,8,,,1,,,,,,516,,,,,,,,,0,,,,,,,,,,,,,,,,,,  1 887,,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,23,,,21,,,,,,,,,,,,,  7 334,,,,,,  1 018,,,,281,,,,256,,128,,,,,,,60,,,,,,,,,,,,,,,  61 969,,,,,,  1 734,,,,,,,,601,,,,,,,,,,,,56,,,,,,,  119 990,,  223 719,,,,,573,,,,,,
"China, Macao Special Administrative Region",,,,,,,,,,,,  2 943,17,,,,,,,,,,,,,,,,,,,,,,,,,  6 156,,,,,8,  24 399,  71 305,,,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,  1 932,,,,,,,,,,,,,,,,,,,,,,  22 199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  11 332,,,,,,,,,,,
Colombia,,,,,,,,,  8 640,,  9 762,  15 497,  1 570,,193,,,,,  1 973,,,,,  2 964,588,,,  8 179,,,33,,,,,,  70 497,380,,,,  23 471,,,,,,,,  21 787,,45,149,  4 797,140,237,,,  3 270,,,  3 606,  194 733,65,577,,,12,,29,,,  1 258,  27 231,,,,,,  22 116,,,399,,,,,  1 156,,,,  1 715,,636,220,191,,,,,,,  2 762,  39 532,,,27,,,,,,,8,,,,,36,,25,,,,,,,,,,,,  20 135,,,,,,,,,,,,  14 375,,  1 197,447,,,,,  5 693,,,,  55 251,,,  5 937,125,123,624,  3 788,,,,,,206,,,,,,,,,,,,,,,,208,54,38,,,539,,  346 936,,,,,,  11 973,  11 949,,,,,,,,,,,46,,,,,,,  27 691,,  687 696,,,,,  973 315,,,,,,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,2,,,,,,,,,,,,,,0,,,13,,,,,  1 013,,,192,,,,,,4,  36 634,,,,,,,,,73,,,,,,,,,,,,,,,,,,0,,,37,,,,,,,,,,,,,,  4 295,,,,  10 953,,,,,,,,,,  59 811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  2 215,,88,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,,30,,,,,,,,,,,,,,,,,,154,596,,,,,,,,,,,,
Congo,,,,,,  1 203,,,42,,,  1 403,457,,,,,,,843,,  1 910,,,7,,,,95,,,13,,,,,  2 270,  1 997,,,852,,13,,,,,,,,8,,,,,,61,,  6 545,756,,,,,83,,,,4,,,,,155,  69 474,,,  10 564,,,  4 204,,,  1 414,,,,,,,,,,,,82,,,,,,  2 519,,,  3 385,,,,,,,,,,0,,,,402,,,,,  1 395,,,  29 972,,,,,,,,,,,,,  1 913,,,  1 024,,,996,,,,,,,,  2 168,,,,,,,,529,106,459,,,,,,,580,,,,,,,,,,,,,,,,,22,,,,  21 955,,  2 105,,,,,72,816,  1 231,,,,,,257,,,,,,,,,,,,  9 561,  25 017,,,,,,,,,,,  9 562,
Cook Islands,,,,,,,,,,,,  7 986,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,2,,,,,,,,,,,,,,,,,0,,,8,,,,,,,,,,33,,3,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  13 460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,,,,,,,,,123,,,527,179,,54,,,,,143,,,,,146,,,,461,,,7,,,,,,  5 039,118,,,,467,,,,  1 056,,,,,,,,,5,51,,,174,,,307,938,,876,,,2,,,,,77,753,,,,,,  1 891,,,38,,,,,  1 162,,,,568,,631,43,7,,,,,11,,,  1 508,99,,,,,,,,,0,,,,,,,,,,,,,,,,,,,  2 468,,,,,,,,,,,,738,,,  10 772,,,,,278,,,,  7 760,,,337,39,36,,685,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,  3 339,,,,,,424,935,,,,,,,,,,,53,,,,,,,777,,  85 924,,,,,  1 127,,,,,,
C?te d'Ivoire,,,,,,46,,,1,,,601,213,,,,,,,  3 102,,  13 742,,,3,,,,396,,,7,  540 779,,7,,,  6 927,,,,,8,,,,,,,,3,,,,,,83,,,447,,,,,256,,,,1,,,,,160,  89 937,,,  2 197,,,  4 036,  30 359,,115,,,,,,  13 608,,,,,,27,1,,,,,133,,,  25 555,,,,,,,,,,1,,,  40 985,596,,,,,,,,  20 144,,,,462,,,34,,,,,,,,,27,,,  1 268,,,,  1 419,,,,327,,,,,,,,,,126,,,,,,,110,,,,,,,,,,,  2 715,,,66,,,,,,,  1 229,,  2 958,,,,,,949,  3 019,,,15,,,  5 746,,,,648,,,,,,,,  8 535,,  25 976,,,,,,,,,,,
Croatia,,,,,,,,,986,,,  69 890,  40 006,,,,,,,  1 216,,,,,38,,  11 528,,683,,,92,,,,,,  44 376,,,,,381,,,,57,,,,25,,,,,93,  1 579,,,818,,,,81,115,,,,12,,20,,,257,  10 097,,,,,,  209 477,,,429,,,,,,,,,,,,  2 061,164,,,,,506,,,  24 709,,,28,,,,,,,5,,,,,126,,415,,,,,,85,,,,,,50,,,,  16 344,,,,,,,,267,,  1 795,,,,,,  3 409,,,,102,,,91,,786,79,,,,,,,321,,,,,,,,,,,,  283 247,,,,,805,  49 719,,,  1 020,,  1 684,,,,,,  7 615,  21 766,,,,  1 433,,,,,,,222,,,,,,,  9 029,,  44 598,,,,,410,,,,,,
Cuba,,,,,,,,20,  1 106,,,897,879,,401,,,58,44,708,,,30,,  1 770,45,,,  2 479,,,270,,,85,,,  15 128,686,,,,  3 049,,,,  1 820,,536,,  5 897,,,,233,39,423,,,484,,12,  3 841,  2 994,,128,,,18,,,,,552,  4 780,,,,,,  14 528,,,352,,,,,660,234,,,  2 492,,449,565,48,,,,,83,,,  33 469,  1 791,,,,,,,,,47,,,,,,,22,,,,,,,,,,,,  17 653,,,,,,,,,623,,,  1 313,,,941,,,,,966,,,,  2 825,,,905,,225,  1 570,  13 321,,,,,54,  2 227,,,,24,,,,,,,,29,43,,,828,138,70,,,  1 647,,  125 263,,,,,,  2 712,  3 258,,,,,103,,,,76,,42,,,,,,,  2 665,, 1 131 284,,,,,  11 423,,,,,,
Cura?ao,,,,,,,,19,,,  2 455,127,,,,,,,,,,,,,167,  4 115,,,,,,,,,,,,,11,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  61 301,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,151,,,,,,,,,,  1 425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,47,,,  22 080,325,,,,,,,410,,,,,2,,,,,,,714,,,,,,  4 250,,7,,,13,,,,,,,,3,,,,,,103,,,184,,,,,96,,,,12,,,,,208,  1 030,,,,,,  1 852,,,  21 607,,,,,,,,,,,,295,4,,,,,288,,,650,,,139,,,,,,,18,,,,,,28,64,,,,,,52,,,,,,,,,,,,,,,,,,563,,,,,,,,192,,,,,,,,,207,29,,,,,,58,716,,,,,,,,,,,,173,,,,,107,,,,  5 278,,366,245,,,,,719,378,,,,,,,,,,,  10 433,,,,,,,  84 815,,  18 410,,,,,15,,,,,,
Czech Republic,,,,,,,,,  1 793,,,  14 337,  54 997,,,,,,96,  3 677,,,,,52,,,,533,,,  1 081,,,,,,  23 136,,,,,146,,,,40,,,,,,949,171,,752,,,,  1 155,,,30,315,225,,,,62,,,,,245,  9 107,,,,,,  543 527,,,  4 430,,,,,,,,,,,,  1 610,180,,,,,  6 081,,,  10 403,,,26,,,,,,,208,,,,,58,80,909,,,,,,95,,,,,,408,,,16,120,,,,,69,,,681,,  1 337,,,,,,  2 148,,,,38,,,90,,  4 513,240,,,,136,,69,  11 257,,,,,,,,,,,,514,,,,,  89 304,388,,,  2 141,,  8 548,,,,,,  1 738,  14 233,,,,53,,,,,,,  1 137,,,,,,,  41 605,,  70 917,,,,,376,,,,,,
Democratic People's Republic of Korea,,,,,,,,,14,,,232,  2 812,,,,,,60,233,,,,,10,,,,172,,,0,,,,42,,695,,,,,5,,,,200,,,,37,,,,,37,11,,,387,,,,485,115,,,,6,,,,,3,61,,,104,,  1 479,  2 991,,,34,,,,,,,,,,,46,,,,,,,131,,,125,,,89,  61 600,,,,  1 777,,11,,,,,,,,,,,,,,,,,,,38,,,561,,,,,,92,,,97,,,,,,,,40,,,,,,,87,  5 753,,71,,,,,,,  10 624,,,,,,,,,,,,,,2,,,,,,,125,,115,,,,,,84,500,,162,0,,,,,,,,28,,,,154,,,  18 697,,,,,,,46,  1 503,,,,,
Democratic Republic of the Congo,,,,,,  43 192,,,,,,  3 682,700,,,,,,,  26 488,,,,,3,,,  3 391,116,,,16,,  167 768,,,  3 134,  21 594,,  17 219,306,,13,,,,,,  170 368,,3,,,,,762,85,,,991,,,,,146,,,  1 688,2,102,,,,  1 775,  76 723,,,  5 766,,,  8 727,30,,209,,,,,,,,,,,,32,2,,,,,52,,,  6 087,,,,,  11 292,,,,,,,,,434,,,97,,  2 210,,,,,,,90,,,97,,,,,,,  2 337,,  2 918,,,  5 122,,,47,,,,,246,,,,,,,,32,,  1 759,,,,,,,,  230 622,,,,,,,,,,,,,,,,,,,,  70 077,  82 755,  1 468,,,800,,162,  3 161,  6 870,,,12,,,651,,,,,73,,,,  303 580,,,  20 971,  58 250,  23 043,,,,,,,,,,  13 409,
Denmark,,,,,105,,,,245,,,  11 625,  1 418,,16,,,,199,  3 186,,,36,38,107,,,395,589,,,149,,,,,,  16 719,17,2,,,233,,,,91,,,,66,,102,,,188,300,,,,,,25,183,337,,,,125,,  3 557,,,  1 208,  6 480,,,,,,  25 973,,,901,  4 614,,,,,,,,,,,450,  3 333,,,,,980,,  1 916,  3 238,,526,53,,,,,,,241,,,,770,16,300,  2 541,,,,,,153,,,,,,249,,,,97,,,,,103,,,  3 514,,  1 465,52,,,,,  25 260,,,,147,,,243,442,892,383,,,,,,73,231,,,,,,,,,,,,183,,,,,242,54,,,  2 715,,  11 269,,,,,,  43 331,  6 006,,135,669,,,,,,,,  3 378,,,,180,,,  24 972,,  30 499,,,,,145,,,,,,
Djibouti,,,,,,,,,,,,169,7,,,,,,,783,,,,,,,,,,,,3,,,,,,  1 617,,,,,0,,,,,,,,,,,,,5,3,,,21,,,,,414,,,,,  3 705,,,,8,  6 571,,,,,,,,,39,,,,,,,,,,,,,5,,,,,1,,,89,,,,,,,,,,,,,,  1 425,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,304,101,,,,,,,,,,,,,,,,,,486,,,,,,,,,,,,,
Dominica,,,,,,,,  4 745,4,,107,11,51,,75,,,337,,33,,,,,3,22,,,25,  1 200,,0,,,,,,  3 361,,,,,30,,,,49,,,,5,,,,107,0,2,,,15,,,15,,,,,,,,,,,6,  6 443,723,,,,,,,,19,,74,  4 373,,,,,43,,,,,1,,,,,1,,,337,137,,,,,,,,,,,,,,,,117,,,,,,,,422,,,,,,,,,280,,,,,,,75,,,,,,,,,,,,58,,,,,,,  1 190,,,,,,,,,200,229,,86,,,,,,,,,,  1 495,,,,,,,966,,,,,,42,365,,,,,,,,,,,,,,,,,,  6 851,,  29 579,  5 508,,,,0,,,,,,
Dominican Republic,,,,,,,700,  1 784,684,,  4 327,179,  3 125,,291,,,,,860,,,21,,116,  1 362,,,372,  1 450,,28,,,,,,  9 803,60,,,,278,,,,385,,,,  1 126,,,113,  5 715,13,56,,,164,,,,353,,72,,,1,,,,,200,  3 491,,,,,,  11 091,,,566,,,947,,109,,,,  4 984,,99,32,32,,,,,10,,,  42 269,,,,,,,,,,0,,,,,69,,36,,,,,,,,139,,,,  1 992,,,,,24,,,,,,,  8 688,,,69,,,,,796,,,,  8 095,,,181,,20,64,  57 891,,,,,35,,,,,48,,,,,,,,,,,,  3 546,,169,,,,,  151 369,,,,,,723,  10 754,,,,,,,,,,,,,774,,,,,  1 485,,  940 874,  4 641,,,,  14 743,,,,,,
Ecuador,,,,,,,,,955,,,  2 310,662,,43,,,,,  4 006,,,,,  1 002,,,,  2 065,,,16,,,,,,  15 590,,,,,  23 471,,,,  14 232,,,,  1 303,,,57,,10,98,,,596,,,582,,14,123,,,7,,,,,243,  4 136,,,,,,  8 486,,,84,,,,,167,,,,,,338,109,32,,,,,39,,,  88 329,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,  2 736,,,,,,,,,,,,  2 182,,,111,,,,,758,,,,  2 672,,,  3 990,459,45,433,851,,,,,,241,,,,,,,,,,,,,,,,,35,,,,,,  421 758,,,,,,  2 406,  5 053,,,,,,,,,,,,,,,,,,  9 422,,  442 693,,,,,  36 973,,,,,,
Egypt,,,,,,,,10,238,,,  45 352,  14 891,,31,  80 889,,,,  1 972,,,,,21,,,,  3 720,,,161,,,,,,  55 927,,38,,,82,,,,140,,,,11,,247,,,  5 776,695,,,  1 706,,,,84,,,,,38,,,,,  1 297,  30 937,,,,,,  23 350,38,,  28 267,,,,,32,,,,,,,  1 183,28,,,,  14 364,532,,  21 100,  108 490,,  1 545,  138 939,,,,  387 993,,,35,  83 312,,,  21 004,,48,25,,,,49,,546,,,225,,,241,,,,,,  1 890,,,159,,,  12 893,,  1 324,,,,,,  1 079,  78 630,,,73,,,20,161,452,407,35,  163 569,,,,70,  1 060,,,,,,,,,,  728 608,,77,,,,,181,107,,,  4 961,  5 145,  4 128,127,  18 451,  13 423,,,  5 934,  6 437,,,1,  1 964,,,,,,  1 140,788,,,,,,  935 308,  33 686,,  159 562,,,,,185,,,,  11 096,230,
El Salvador,,,,,,,,,73,,,  11 689,68,,73,,,,,225,  8 697,,,,127,,,,272,,,6,,,,,,  48 632,,,,,233,,,,384,,,,  14 239,,,,,13,26,,,85,,,267,522,237,,,,2,,,,,75,  1 114,,,,,,  1 331,,,50,,,,,  19 198,,,,,,  6 486,14,15,,,,,27,,,  12 464,132,,,,,,,,,,,,,708,,,,,,,,,,,,,,,  10 054,,,,,,,,,,,,377,,,  2 444,,,,,203,,,,  3 225,,,108,,,83,846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,  9 192,,,,,,  2 948,742,,,,,,,,,,,,,,,,,,948,, 1 276 489,,,,,  1 015,,,,,,
Equatorial Guinea,,,,,,,,,,,,,10,,,,,,,38,,,,,,,,,66,,,,,,,,  2 580,76,,,,,2,,,,,,  1 582,,,,,,,,0,,,,,,,,,,,,,,,,,16,390,,,  56 283,,,,,,1,,,,,,,,,,,,,7,,,,,0,,,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,,214,,,,,,,104,,,,,,,,,146,,,,,,,,,,,,,,  18 841,,,,,,43,43,,,,,,107,,,,,,,,,,,,312,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,  3 851,104,,,  1 550,,,,364,,,,,0,,,,,,,3,,,,,,  8 870,,,,,2,,,,,,,,,,,,,5,7,,,328,,,,,  2 368,,,,,  156 030,,,,168,638,,,,,,  14 636,,,280,,,,,,,,,,,,20,11,,,,806,38,,,  13 593,,,79,,  2 127,,  4 725,,,0,,,,  1 983,,,,,,,,,610,,,,,,,,,,,,,,,,,,  2 150,,,,,,,,  14 821,,,,,,,,,23,,,  1 854,,,,,,,,,,,,,,,,,,,,,,,,,34,  1 604,  3 318,137,,,  159 748,,,  22 320,  8 893,,,,,,,,,,,,,,,  3 529,,  17 916,  19 031,,  30 305,,,,,28,,,,  1 009,,
